Match_ID,Round_Num,Economy_State,Utility_Damage,Headshot_Kill,Entry_Attempt,Entry_Success,Round_Won,Player_Level
501,1,Full Buy,33.25425884551133,1,0,-1,1,Professional
501,2,Full Buy,35.45160109932115,1,0,-1,1,Professional
501,3,Full Buy,39.09736707424791,1,0,-1,0,Professional
501,4,Full Buy,12.427703627173944,0,0,-1,1,Professional
501,5,Full Buy,44.1765761944051,-1,0,-1,1,Professional
501,6,Eco,10.775540389185544,1,0,-1,1,Professional
501,7,Force,19.230172463534256,1,0,-1,1,Professional
501,8,Full Buy,42.74652441813608,0,0,-1,1,Professional
501,9,Full Buy,29.417076527550655,0,0,-1,1,Professional
501,10,Force,22.778289783350328,1,0,-1,1,Professional
501,11,Force,34.85877461244324,0,1,0,0,Professional
501,12,Full Buy,38.082576223228905,0,0,-1,1,Professional
501,13,Force,18.19303325836016,0,0,-1,1,Professional
501,14,Force,29.861876401989978,1,0,-1,0,Professional
501,15,Force,41.62180209754138,0,0,-1,1,Professional
501,16,Force,26.506924187259063,1,0,-1,0,Professional
501,17,Eco,41.93130454985249,1,0,-1,0,Professional
501,18,Full Buy,28.984591300288063,1,0,-1,0,Professional
501,19,Full Buy,26.23937123740185,1,0,-1,0,Professional
502,1,Full Buy,24.76536300139005,0,0,-1,0,Professional
502,2,Force,20.120507980792304,0,0,-1,0,Professional
502,3,Eco,43.93811652070039,-1,0,-1,0,Professional
502,4,Full Buy,33.26891527622838,0,0,-1,0,Professional
502,5,Force,18.552084459280245,-1,0,-1,1,Professional
502,6,Full Buy,34.79142901020796,1,0,-1,0,Professional
502,7,Full Buy,33.5491037164978,0,0,-1,1,Professional
502,8,Eco,35.14421982539725,1,1,0,0,Professional
502,9,Full Buy,28.006495934932797,-1,0,-1,0,Professional
502,10,Force,25.422716314655467,-1,0,-1,1,Professional
502,11,Full Buy,14.825236639971816,1,0,-1,1,Professional
502,12,Full Buy,38.76173174397401,1,0,-1,1,Professional
502,13,Full Buy,31.3663707506066,-1,0,-1,1,Professional
502,14,Full Buy,35.124710479796164,0,0,-1,0,Professional
502,15,Eco,37.050806457009955,0,0,-1,0,Professional
